Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,LD,SNP,Grn,Ref,PC,Others,Lead
30 Nov,PeoplePolling,GB News,GB,1145,21%,46%,7%,5%,9%,7%,1%,3%,25
29–30 Nov,YouGov,The Times,GB,1637,22%,47%,9%,4%,5%,9%,1%,2%,25
24–28 Nov,Deltapoll,,GB,1062,30%,48%,10%,3%,3%,4%,—,2% UKIP on 1% Other on 1%,18
27 Nov,Redfield & Wilton,,GB,2000,27%,47%,11%,3%,5%,5%,—,1%,20
25–27 Nov,Savanta ComRes Archived 28 February 2024 at the Wayback Machine,,UK,2106,26%,47%,10%,4%,2%,5%,1%,4%,21
23–24 Nov,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1174,25%,49%,9%,3%,5%,6%,1%,2%,24
23–24 Nov,Techne,,UK,1625,27%,50%,9%,4%,4%,—,—,6%,23
23 Nov,PeoplePolling,,GB,1145,24%,44%,8%,5%,8%,5%,1%,5%,20
22–23 Nov,YouGov,The Times,GB,1672,25%,48%,9%,4%,5%,5%,1%,2%,23
17–21 Nov,Kantar Public Archived 15 August 2023 at the Wayback Machine,,GB,1111,30%,45%,8%,5%,4%,5%,—,4% UKIP on 2% Other on 2%,15
20 Nov,Redfield & Wilton,,GB,2000,28%,49%,9%,4%,4%,5%,—,2%,21
18–20 Nov,Savanta ComRes,Independent,UK,2106,28%,46%,10%,3%,3%,3%,—,6%,18
17–19 Nov,Deltapoll,The Mail on Sunday,GB,1604,25%,51%,9%,3%,4%,4%,0%,4% UKIP on 2% Other on 2%,26
18 Nov,PeoplePolling,GB News,GB,1331,21%,47%,10%,5%,7%,6%,1%,4%,26
17–18 Nov,Opinium,The Observer,GB,1484,28%,45%,9%,3%,4%,6%,—,3%,17
17–18 Nov,Omnisis Archived 19 November 2022 at the Wayback Machine,,GB,1159,21%,48%,10%,5%,7%,5%,1%,4%,27
17 Nov,Techne,,UK,1628,28%,50%,8%,4%,4%,—,—,6%,22
16–17 Nov,Redfield & Wilton,,GB,1500,27%,48%,10%,5%,4%,5%,—,1%,21
15–16 Nov,YouGov,The Times,GB,1682,26%,47%,9%,5%,5%,6%,1%,2%,21
9–16 Nov,Ipsos,Evening Standard,GB,1004,29%,50%,7%,5%,3%,2%,1%,2% UKIP on 1% Other on 1%,21
10–14 Nov,Deltapoll,,GB,1060,27%,50%,6%,5%,6%,3%,1%,3% UKIP on 2%,23
13 Nov,Redfield & Wilton,,GB,2000,26%,50%,9%,3%,5%,4%,—,2%,24
10–11 Nov,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1181,26%,49%,7%,3%,5%,9%,—,1%,23
9–10 Nov,Redfield & Wilton,,GB,1500,28%,49%,11%,3%,4%,4%,—,1%,21
9–10 Nov,YouGov,The Times,GB,1708,25%,48%,10%,5%,5%,5%,1%,2%,23
9–10 Nov,Techne,,UK,1628,30%,49%,8%,4%,4%,—,—,5%,19
9 Nov,PeoplePolling,GB News,GB,1198,21%,42%,9%,5%,9%,8%,2%,4%,21
4–7 Nov,Deltapoll,,GB,1049,29%,47%,9%,4%,5%,3%,—,4%,18
6 Nov,Redfield & Wilton,,GB,2000,27%,48%,10%,4%,3%,5%,—,2%,21
3–4 Nov,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1352,27%,51%,7%,4%,4%,6%,1%,—,24
2–4 Nov,Opinium,The Observer,UK,1445,28%,46%,8%,4%,6%,—,—,7%,18
2–3 Nov,Redfield & Wilton,,GB,1500,30%,47%,12%,3%,3%,4%,—,1%,17
2–3 Nov,Techne,,UK,1663,29%,49%,9%,4%,4%,—,—,3%,20
1–3 Nov,Survation,,UK,1017,27%,50%,7%,4%,3%,3%,1%,5% UKIP on 2% Other on 3%,23
1–2 Nov,YouGov,The Times,GB,1702,24%,50%,9%,4%,5%,6%,1%,2%,26
1 Nov,PeoplePolling,GB News,GB,1212,21%,47%,10%,5%,5%,5%,1%,4%,26
28–31 Oct,Deltapoll,,GB,1606,26%,51%,9%,4%,4%,3%,1%,3% UKIP on 2% Other on 1%,25
24–31 Oct,YouGov,Ben Ansell/ERC WEALTHPOL,UK,2464,25%,49%,9%,4%,5%,4%,1%,2%,24
30 Oct,Redfield & Wilton,,GB,2000,27%,50%,9%,4%,5%,3%,—,2%,23
28–30 Oct,Focaldata,Best for Britain,GB,2000,29%,49%,8%,4%,4%,4%,0%,2%,20
27–28 Oct,Omnisis Archived 28 October 2022 at the Wayback Machine,,GB,1383,25%,53%,7%,4%,4%,6%,1%,2%,28
26–28 Oct,Opinium,The Observer,UK,1499,28%,44%,10%,4%,5%,—,—,8%,16
26–27 Oct,Techne,,UK,1626,26%,50%,10%,4%,5%,—,—,5%,24
26–27 Oct,Survation,,UK,2028,27%,51%,8%,5%,2%,3%,1%,3%,24
26 Oct,PeoplePolling Archived 28 October 2022 at the Wayback Machine,GB News,GB,1237,20%,51%,9%,5%,5%,7%,—,5%,31
25–26 Oct,Redfield & Wilton,,GB,1500,23%,55%,9%,4%,5%,4%,—,1%,32
25–26 Oct,YouGov,The Times,GB,1646,23%,51%,9%,5%,4%,6%,1%,1%,28
24–26 Oct,BMG,Independent,GB,1568,26%,49%,10%,4%,5%,5%,—,2%,23
20–26 Oct,Focaldata,Best for Britain,GB,10000,23%,53%,10%,4%,4%,4%,0%,2%,30
24–25 Oct,Rishi Sunak is elected leader of the Conservative Party and subsequently becomes Prime Minister[12],Rishi Sunak is elected leader of the Conservative Party and subsequently becomes Prime Minister[12],Rishi Sunak is elected leader of the Conservative Party and subsequently becomes Prime Minister[12],Rishi Sunak is elected leader of the Conservative Party and subsequently becomes Prime Minister[12],Rishi Sunak is elected leader of the Conservative Party and subsequently becomes Prime Minister[12],Rishi Sunak is elected leader of the Conservative Party and subsequently becomes Prime Minister[12],Rishi Sunak is elected leader of the Conservative Party and subsequently becomes Prime Minister[12],Rishi Sunak is elected leader of the Conservative Party and subsequently becomes Prime Minister[12],Rishi Sunak is elected leader of the Conservative Party and subsequently becomes Prime Minister[12],Rishi Sunak is elected leader of the Conservative Party and subsequently becomes Prime Minister[12],Rishi Sunak is elected leader of the Conservative Party and subsequently becomes Prime Minister[12],Rishi Sunak is elected leader of the Conservative Party and subsequently becomes Prime Minister[12],Rishi Sunak is elected leader of the Conservative Party and subsequently becomes Prime Minister[12]
23 Oct,Redfield & Wilton,,GB,2000,21%,54%,11%,3%,4%,4%,—,2%,33
22–23 Oct,Deltapoll,Sky News,GB,2012,25%,51%,10%,4%,5%,3%,1%,2% UKIP on 1% Other on 1%,26
21–23 Oct,Savanta ComRes,Independent,UK,1996,25%,51%,8%,4%,2%,—,—,10%,26
21–22 Oct,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1353,22%,56%,10%,4%,4%,3%,1%,1%,34
19–21 Oct,JL Partners,,GB,2000,26%,51%,8%,5%,3%,3%,—,4%,25
20–21 Oct,YouGov,The Times,GB,1700,19%,56%,10%,4%,4%,5%,1%,1%,37
19–21 Oct,Opinium,The Observer,UK,2023,23%,50%,9%,3%,6%,—,—,6%,27
20 Oct,PeoplePolling,GB News,GB,1237,14%,53%,11%,5%,6%,5%,—,5%,39
20 Oct,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1382,22%,57%,7%,4%,4%,3%,—,3%,35
19–20 Oct,Techne,,UK,1632,22%,53%,11%,4%,5%,—,—,5%,31
20 Oct,"Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election"
19 Oct,Redfield & Wilton,,GB,2500,19%,55%,12%,4%,4%,4%,—,1%,36
18–19 Oct,Survation,,UK,1252,23%,52%,11%,4%,3%,2%,1%,4% UKIP on 1% Other on 3%,29
13–17 Oct,Deltapoll,,GB,1050,23%,55%,7%,4%,4%,3%,1%,1%,32
16 Oct,Redfield & Wilton,,GB,2000,20%,56%,11%,4%,5%,2%,—,1%,36
14–16 Oct,Savanta ComRes,,UK,2195,22%,52%,11%,4%,2%,—,—,8%,30
13–14 Oct,Omnisis,,GB,1328,28%,49%,10%,3%,5%,2%,1%,2%,21
13 Oct,Redfield & Wilton,,GB,1500,24%,53%,13%,4%,3%,2%,—,3%,29
12–13 Oct,Techne,,UK,1626,25%,49%,11%,4%,6%,—,—,5%,24
12 Oct,PeoplePolling Archived 14 October 2022 at the Wayback Machine,GB News,GB,1158,19%,53%,8%,6%,6%,4%,1%,4%,34
11–12 Oct,YouGov,The Times,GB,1675,23%,51%,9%,5%,7%,3%,1%,2%,28
5–12 Oct,Ipsos,Evening Standard,GB,1001,26%,47%,10%,4%,8%,2%,0%,2%,21
9 Oct,Redfield & Wilton,,GB,2000,25%,54%,10%,3%,4%,3%,—,1%,29
7–9 Oct,Savanta ComRes,,UK,2036,23%,51%,10%,4%,4%,—,—,8%,28
6–7 Oct,YouGov,The Times,GB,1737,22%,52%,9%,5%,6%,5%,1%,2%,30
6–7 Oct,Deltapoll,,GB,1034,26%,51%,9%,4%,4%,2%,0%,3% UKIP on 2% Plaid Cymru on 0% Other on 0%,25
6–7 Oct,Omnisis,,GB,1328,24%,51%,10%,3%,5%,4%,1%,2%,27
5–7 Oct,Opinium,The Observer,UK,2023,26%,47%,11%,3%,6%,—,—,6%,21
6 Oct,PeoplePolling,GB News,GB,1512,20%,52%,8%,5%,7%,4%,1%,3%,32
5–6 Oct,Techne,,UK,1636,26%,48%,10%,4%,6%,—,—,6%,22
5 Oct,Redfield & Wilton,,GB,1500,24%,52%,10%,4%,5%,3%,—,1%,28
2 Oct,Redfield & Wilton,,GB,2000,24%,52%,10%,5%,5%,3%,—,1%,28
30 Sep – 2 Oct,Savanta ComRes,,UK,2113,25%,50%,11%,3%,3%,—,—,8%,25
29–30 Sep,Omnisis,,GB,1320,23%,55%,7%,5%,5%,3%,0%,1%,32
28–30 Sep,Opinium,The Observer,UK,1468,27%,46%,9%,4%,6%,—,1%,6%,19
29 Sep,Survation,,UK,1329,28%,49%,11%,5%,1%,2%,1%,4% UKIP on 1% Other on 3%,21
28–29 Sep,PeoplePolling,GB News,GB,2216,20%,50%,9%,5%,8%,3%,0%,4%,30
28–29 Sep,Techne,,UK,1625,27%,47%,11%,4%,6%,—,—,5%,20
28–29 Sep,YouGov,The Times,GB,1712,21%,54%,7%,5%,6%,4%,1%,2%,33
28–29 Sep,Redfield & Wilton,,GB,2500,29%,46%,13%,3%,4%,4%,—,1%,17
27–29 Sep,BMG,,GB,1516,30%,47%,9%,4%,5%,3%,—,2%,17
27–29 Sep,Deltapoll,Daily Mirror,GB,1613,29%,48%,9%,4%,4%,2%,1%,2% UKIP on 1% Other on 1%,19
23–27 Sep,FindOutNow,Channel 4,GB,10435,27%,45%,10%,5%,7%,3%,1%,2%,18
23–26 Sep,Omnisis,,GB,1307,32%,44%,10%,4%,5%,4%,1%,1%,12
22–26 Sep,Kantar Public Archived 30 September 2022 at the Wayback Machine,,GB,1141,35%,39%,10%,5%,4%,3%,1%,3% UKIP on 2% Other on 1%,4
25 Sep,Redfield & Wilton,,GB,2000,31%,44%,11%,4%,6%,2%,—,1%,13
23–25 Sep,Savanta ComRes,MHP,UK,2259,29%,43%,12%,5%,4%,—,—,8%,14
23–25 Sep,YouGov,The Times,GB,1730,28%,45%,9%,4%,7%,3%,1%,2%,17
22–25 Sep,Deltapoll,,GB,2192,31%,44%,12%,4%,4%,2%,1%,1% UKIP on 1% Other on 0%,13
21–23 Sep,Opinium,,UK,1491,34%,39%,10%,4%,7%,—,1%,5%,5
21–22 Sep,YouGov,The Times,GB,1713,32%,40%,9%,5%,8%,3%,1%,2%,8
21–22 Sep,Techne,,UK,1639,34%,41%,11%,4%,5%,—,—,5%,7
21 Sep,Redfield & Wilton,,GB,2000,32%,42%,12%,4%,5%,4%,—,2%,10
21 Sep,PeoplePolling Archived 23 September 2022 at the Wayback Machine,GB News,GB,1298,28%,40%,10%,6%,8%,4%,1%,4%,12
16–20 Sep,Deltapoll,,GB,2084,32%,42%,10%,4%,6%,2%,1%,3% UKIP on 2% Other on 1%,10
18 Sep,Redfield & Wilton,,GB,2000,34%,42%,10%,4%,5%,3%,—,1%,8
15–16 Sep,Savanta ComRes,Labour List,UK,6226,33%,45%,10%,?,4%,3%,—,5%,12
14–15 Sep,Techne,,UK,1647,35%,41%,10%,4%,5%,—,—,5%,6
7–15 Sep,Ipsos,,GB,1000,30%,40%,13%,5%[f],8%,1%,—,4%,10
13 Sep,PeoplePolling,GB News,GB,1245,28%,40%,10%,4%,6%,5%,2%,4%,12
11–12 Sep,YouGov,The Times,GB,1727,32%,42%,10%,4%,7%,2%,1%,1%,10
9–12 Sep,Deltapoll,,GB,1573,32%,44%,9%,4%,4%,2%,1%,2% UKIP on 2% Other on 0%,12
11 Sep,Savanta ComRes,Daily Mail,UK,2272,35%,42%,10%,4%,3%,3%,1%,4%,7
7–8 Sep,Techne,,UK,1628,34%,42%,11%,4%,4%,—,—,5%,8
7 Sep,PeoplePolling Archived 20 September 2022 at the Wayback Machine,GB News,GB,1162,28%,40%,9%,5%,7%,4%,1%,5%,12
7 Sep,Redfield & Wilton,,GB,2000,30%,42%,14%,5%,6%,2%,—,2%,12
6–7 Sep,YouGov,The Times,GB,1688,29%,44%,10%,5%,7%,3%,1%,2%,15
5–6 Sep,Liz Truss is elected leader of the Conservative Party and subsequently becomes Prime Minister[13],Liz Truss is elected leader of the Conservative Party and subsequently becomes Prime Minister[13],Liz Truss is elected leader of the Conservative Party and subsequently becomes Prime Minister[13],Liz Truss is elected leader of the Conservative Party and subsequently becomes Prime Minister[13],Liz Truss is elected leader of the Conservative Party and subsequently becomes Prime Minister[13],Liz Truss is elected leader of the Conservative Party and subsequently becomes Prime Minister[13],Liz Truss is elected leader of the Conservative Party and subsequently becomes Prime Minister[13],Liz Truss is elected leader of the Conservative Party and subsequently becomes Prime Minister[13],Liz Truss is elected leader of the Conservative Party and subsequently becomes Prime Minister[13],Liz Truss is elected leader of the Conservative Party and subsequently becomes Prime Minister[13],Liz Truss is elected leader of the Conservative Party and subsequently becomes Prime Minister[13],Liz Truss is elected leader of the Conservative Party and subsequently becomes Prime Minister[13],Liz Truss is elected leader of the Conservative Party and subsequently becomes Prime Minister[13]
4 Sep,Redfield & Wilton,,GB,2000,31%,43%,12%,5%,6%,3%,—,1%,12
1–2 Sep,Opinium,The Observer,UK,1516,34%,38%,12%,4%,6%,—,1%,6%,4
1–2 Sep,Techne,,UK,1628,32%,42%,12%,4%,5%,—,—,5%,10
31 Aug – 2 Sep,Deltapoll,,GB,1573,31%,42%,10%,5%,6%,3%,1%,3% UKIP on 2% Other on 1%,11
31 Aug – 1 Sep,YouGov,The Times,GB,1711,28%,43%,11%,5%,6%,3%,1%,1%,15
31 Aug,Survation[g],,UK,1013,33%,43%,11%,4%,3%,5%,1%,4% UKIP on 1% Reclaim Party on 0% Alba Party on 0% Other on 3%,10
31 Aug,Redfield & Wilton,,GB,2000,31%,42%,12%,4%,7%,3%,—,2%,11
30 Aug,PeoplePolling,GB News,GB,1203,25%,42%,10%,5%,7%,4%,2%,6%,17
26–30 Aug,Deltapoll,The Mirror,GB,1600,31%,44%,12%,4%,4%,2%,1%,2% UKIP on 1% Other on 1%,13
28 Aug,Redfield & Wilton,,GB,2000,33%,42%,13%,3%,4%,4%,0%,1%,9
24–25 Aug,Techne,,UK,1630,33%,41%,11%,4%,6%,—,—,5%,8
24–25 Aug,Redfield & Wilton,,GB,1500,33%,42%,12%,4%,5%,2%,1%,1%,9
23–24 Aug,YouGov,The Times,GB,2007,31%,39%,11%,5%,7%,5%,1%,2%,8
22 Aug,PeoplePolling,GB News,GB,1235,26%,40%,11%,6%,6%,5%,1%,5%,14
19–22 Aug,Deltapoll,,GB,1591,31%,43%,11%,5%,6%,2%,1%,1%,12
18–22 Aug,Kantar Public Archived 26 August 2022 at the Wayback Machine,,GB,1106,33%,40%,14%,4%,6%,2%,1%,1% UKIP on <1% Other on 1%,7
21 Aug,Redfield & Wilton,,GB,2000,31%,43%,13%,5%,5%,3%,1%,1%,12
18–19 Aug,Opinium,The Observer,UK,1527,31%,39%,10%,3%,7%,—,1%,8%,8
16–18 Aug,BMG,,UK,2091,32%,42%,11%,5%,4%,3%,0%,1%,10
16–17 Aug,YouGov,The Times,GB,1696,28%,43%,11%,5%,7%,4%,1%,2%,15
14 Aug,Redfield & Wilton,,GB,2000,34%,41%,12%,4%,5%,3%,1%,1%,7
10–12 Aug,Techne,,UK,1641,35%,39%,12%,4%,5%,—,—,5%,4
9–10 Aug,YouGov,The Times,GB,1809,30%,39%,12%,5%,6%,4%,1%,2%,9
8 Aug,Redfield & Wilton,,GB,2000,35%,40%,12%,4%,5%,3%,1%,1%,5
3–8 Aug,Opinium,The Observer,GB,2010,34%,37%,12%,4%,6%,—,1%,7%,3
4–5 Aug,YouGov,The Times,GB,1968,33%,37%,11%,5%,8%,3%,1%,2%,4
4 Aug,Redfield & Wilton,,GB,1500,32%,40%,13%,4%,4%,4%,1%,2%,8
3–4 Aug,Techne,,UK,1630,34%,39%,13%,4%,5%,—,—,5%,5
28 Jul – 1 Aug,Kantar Public Archived 26 August 2022 at the Wayback Machine,,GB,1096,32%,36%,13%,6%,8%,4%,<1%,2% UKIP on 1% Other on 1%,4
31 Jul,Redfield & Wilton,,GB,2000,34%,38%,11%,4%,7%,4%,0%,1%,4
27–28 Jul,YouGov,The Times,GB,1797,34%,35%,13%,5%,7%,3%,1%,1%,1
27–28 Jul,Techne,,UK,1645,33%,40%,12%,4%,6%,—,—,5%,7
27 Jul,Redfield & Wilton,,GB,1500,33%,41%,11%,4%,5%,4%,—,2%,8
21–27 Jul,Ipsos,Evening Standard,GB,1052,30%,44%,10%,5%,8%,1%,0%,2% UKIP on 1% Other on 1%,14
24 Jul,Redfield & Wilton,,GB,2000,34%,40%,12%,4%,5%,3%,0%,2%,6
22–24 Jul,Savanta ComRes,The Independent,UK,2272,29%,42%,12%,3%,4%,4%,—,5%,13
21–23 Jul,Deltapoll,Mail on Sunday,GB,1588,31%,42%,10%,4%,6%,3%,1%,4% UKIP on 3% Other on 1%,11
21–22 Jul,YouGov,The Times,GB,1692,32%,39%,12%,4%,8%,4%,1%,2%,7
21–22 Jul,Opinium,The Observer,GB,2001,34%,37%,13%,3%,7%,—,1%,6%,3
21 Jul,Techne,,UK,1645,32%,41%,12%,4%,6%,—,—,5%,9
21 Jul,Savanta ComRes,Daily Express,UK,2109,33%,44%,9%,3%,3%,3%,0%,5%,11
20–21 Jul,Redfield & Wilton,,GB,1500,35%,44%,9%,3%,5%,3%,—,1%,9
14–18 Jul,Kantar Public Archived 22 July 2022 at the Wayback Machine,,GB,1077,33%,37%,13%,4%,7%,4%,1%,2% UKIP on 1% Other on <1%,4
17 Jul,Redfield & Wilton,,GB,2000,32%,42%,12%,4%,5%,3%,0%,2%,10
15–17 Jul,Savanta ComRes,,UK,1980,30%,43%,11%,4%,4%,3%,1%,4%,13
14 Jul,Techne,,UK,1645,31%,40%,13%,4%,6%,—,—,6%,9
13–14 Jul,YouGov,The Times,GB,1733,29%,40%,13%,4%,7%,4%,1%,2%,11
12–14 Jul,JL Partners,The Sunday Telegraph,GB,4434,31%,42%,12%,4%,6%,3%,1%,2% UKIP on 1% Other on 1%,11
11–12 Jul,Omnisis,The Byline Times,UK,1002,25%,46%,8%,5%,8%,5%,1%,2%,21
10 Jul,Redfield & Wilton,,GB,2000,31%,42%,12%,4%,5%,5%,0%,1%,11
8–10 Jul,Savanta ComRes Archived 12 July 2022 at the Wayback Machine[14],,UK,2168,28%,43%,12%,4%,4%,3%,1%,6%,15
6–8 Jul,Opinium,The Observer,GB,2000,33%,38%,12%,3%,6%,—,1%,7%,5
7 Jul,Techne,,UK,1644,29%,41%,14%,4%,6%,—,—,6%,12
7 Jul,Redfield & Wilton,,GB,1500,31%,43%,12%,3%,7%,2%,—,3%,12
6–7 Jul,YouGov,The Times,GB,1687,29%,40%,15%,5%,6%,3%,1%,2%,11
7 Jul,"Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election"
3 Jul,Redfield & Wilton,,GB,2000,35%,41%,11%,3%,5%,5%,0%,1%,6
1–3 Jul,Savanta ComRes,,UK,2106,32%,41%,11%,4%,3%,4%,1%,5%,9
29 Jun – 1 Jul,Omnisis,The Byline Times,UK,1015,27%,47%,9%,4%,6%,4%,1%,2%,20
28 Jun – 1 Jul,BMG,The Independent,UK,1521,32%,42%,11%,4%,4%,4%,1%,2%,10
29–30 Jun,Techne,,UK,1632,33%,39%,13%,4%,5%,—,—,6%,6
29–30 Jun,Redfield & Wilton,,GB,1500,32%,40%,13%,5%,5%,3%,0%,1%,8
28–29 Jun,YouGov,The Times,GB,1671,33%,36%,13%,5%,6%,3%,1%,2%,3
22–29 Jun,Ipsos,,GB,1059,30%,41%,15%,5%,6%,1%,1%,1% UKIP on 0% Other on 1%,11
27 Jun,Survation,,UK,1017,35%,43%,11%,3%,2%,—,—,5%,8
26 Jun,Redfield & Wilton,,GB,2000,33%,41%,15%,4%,4%,3%,0%,1%,8
24–26 Jun,Savanta ComRes,The Independent,UK,2217,34%,41%,10%,5%,5%,1%,0%,4%,7
22–24 Jun,Opinium,The Observer,GB,2000,34%,37%,11%,4%,6%,—,1%,7%,3
