country,election_year,party,dataset_split,election_date,last_poll_date,days_before_election,final_poll_pct,final_rolling_avg,final_momentum_1st,final_momentum_2nd,recent_30d_mean,recent_30d_std,recent_30d_observations,recent_30d_trend_per_day,final_vs_recent_30d_mean,mean_poll_pct,poll_std,min_poll_pct,max_poll_pct,mean_rolling_avg,mean_momentum_1st,mean_momentum_2nd,n_poll_observations,campaign_span_days,actual_pct,is_winner
canada,2008,GPC,development,2008-10-14,2008-10-14,0,6.8,7.739999999999999,-0.2999999999999998,-0.3999999999999994,9.65049504950495,1.9415021112518254,101,-0.015491093703223257,-1.9104950495049513,9.098954703832753,2.0368809304369084,4.0,14.0,9.084686411149827,0.00804195804195804,-0.009824561403508777,287,995,6.777454635560008,0
uk,1997,LAB,development,1997-05-01,1997-05-01,0,43.2,45.84,0.2000000000000028,4.200000000000003,49.606896551724134,2.868609062736799,58,-0.1934099184372558,-3.7668965517241304,50.44819277108434,3.217173849405272,42.0,58.0,50.578493975903605,-0.05853658536585363,-0.05925925925925923,83,116,43.20796614899999,1
uk,1997,CON,development,1997-05-01,1997-05-01,0,30.7,30.74,-2.3000000000000007,-6.300000000000001,30.58103448275862,1.8933146355415327,58,0.02005440129183517,0.15896551724137709,30.23734939759036,2.0248879691380157,26.0,37.0,30.22809236947791,-0.003658536585365862,-0.01604938271604939,83,116,30.6558778281243,0
uk,1997,LIB,development,1997-05-01,1997-05-01,0,16.8,16.759999999999998,-1.1999999999999993,-0.1999999999999993,13.46206896551724,2.2013183813191155,58,0.13565361897930955,3.297931034482758,13.16024096385542,2.2036628740391184,9.0,19.0,13.085763052208835,0.009756097560975618,0.03456790123456791,83,116,16.75797291873973,0
uk,2001,LAB,development,2001-06-07,2001-06-07,0,40.7,43.94,-6.299999999999997,-8.299999999999997,47.9,3.485728479142205,33,-0.21713577185368926,-3.960000000000001,48.63275862068965,3.243209772955058,40.7,55.0,48.75270114942528,-0.09298245614035083,-0.14821428571428566,58,152,40.67507571760156,1
uk,2001,CON,development,2001-06-07,2001-06-07,0,31.7,31.34,1.6999999999999993,1.6999999999999993,30.53636363636364,2.040472046071423,33,-0.0016676999380035693,0.803636363636361,30.891379310344828,2.071171955661037,25.0,35.0,31.00068965517241,-0.05789473684210528,0.06607142857142856,58,152,31.69679372427669,0
uk,2001,LIB,development,2001-06-07,2001-06-07,0,18.3,17.86,0.3000000000000007,0.3000000000000007,15.342424242424244,2.081815976356293,33,0.1819218846869189,2.517575757575756,14.608620689655172,2.025721198330373,11.0,19.0,14.452758620689655,0.07543859649122808,0.00535714285714287,58,152,18.25862278406621,0
uk,2005,LAB,development,2005-05-05,2005-05-05,0,36.2,37.24,-1.7999999999999972,-0.7999999999999972,38.403076923076924,1.730626318886114,65,0.01644642794881612,-1.1630769230769218,38.168749999999996,1.975121963533729,34.0,43.0,38.1665625,-0.0189473684210526,0.012765957446808541,96,119,35.18455629037208,1
uk,2005,CON,development,2005-05-05,2005-05-05,0,33.2,32.84,0.2000000000000028,0.2000000000000028,32.54153846153846,1.6658462675115757,65,-0.10398173006519987,0.2984615384615452,32.699999999999996,1.7923448328934921,27.0,39.0,32.656666666666666,0.023157894736842134,0.012765957446808541,96,119,32.36154023973776,0
uk,2005,LIB,development,2005-05-05,2005-05-05,0,22.7,22.94,-0.3000000000000007,-1.3000000000000007,21.580000000000002,1.3186473255691868,65,0.06669746522087829,1.3599999999999994,21.267708333333335,1.713943721829052,16.0,26.0,21.255277777777774,0.017894736842105255,-0.05638297872340426,96,119,22.04733435062049,0
uk,2010,CON,development,2010-05-06,2010-05-06,0,36.9,36.38,-0.1000000000000014,-2.1000000000000014,35.18068181818182,2.3758662513312645,88,-0.09323112791770699,1.1993181818181853,36.681502890173405,2.50024369823617,31.0,42.0,36.728304431599234,-0.018023255813953497,-0.012280701754385974,173,120,36.05428716982348,1
uk,2010,LAB,development,2010-05-06,2010-05-06,0,29.7,27.34,1.6999999999999993,0.6999999999999993,28.292045454545452,2.2497081422279224,88,-0.10537666343205053,-0.952045454545452,29.385549132947975,2.5316195470139164,23.0,35.0,29.408227360308285,-0.007558139534883725,0.015789473684210523,173,120,28.99027149513312,0
uk,2010,LIB,development,2010-05-06,2010-05-06,0,23.6,26.72,-4.399999999999999,-6.399999999999999,26.075,4.4033368029257085,88,0.2852553891307351,0.6449999999999996,22.43121387283237,4.98865269907079,15.0,34.0,22.3288246628131,0.038372093023255824,-0.019883040935672506,173,120,23.02728101600924,0
uk,2015,CON,development,2015-05-07,2015-05-07,0,34.0,35.160000000000004,-3.799999999999997,-10.599999999999994,33.67586206896552,1.52111313727064,87,0.02726983337779916,1.484137931034482,33.0551724137931,1.7887746156086566,27.0,39.0,33.03514367816092,0.008658008658008658,-0.025217391304347813,232,125,36.80951151599356,1
uk,2015,LAB,development,2015-05-07,2015-05-07,0,34.0,32.84,2.8000000000000007,4.600000000000001,33.49655172413793,1.635767476088934,87,-0.04284973684848708,-0.6565517241379268,33.453448275862065,1.6169058912372472,28.0,39.0,33.459971264367816,0.004329004329004329,-0.0008695652173913012,232,125,30.44959813535456,0
uk,2015,LIB,development,2015-05-07,2015-05-07,0,9.0,8.620000000000001,0.9000000000000004,0.8000000000000007,8.483908045977012,1.0263061275304395,87,0.030954560888651884,0.13609195402298901,7.9271551724137925,1.2243557813682255,4.0,12.0,7.924525862068966,0.004329004329004329,-0.0004347826086956506,232,125,7.870067700897711,0
us,2000,DEM,development,2000-11-07,2000-11-07,0,43.323453,43.1830368,0.0,-0.1580799999999982,42.81581383870967,0.2620963604514134,31,0.005256914919354073,0.36722296129033083,41.517779490039835,2.559984320664934,37.629209,46.100919,41.515404174833996,0.0014513760000000105,-1.5261044177881358e-07,251,250,48.20364535317434,1
us,2000,REP,development,2000-11-07,2000-11-07,0,46.945554,46.7963518,0.0,-0.146410000000003,45.81720829032257,0.6001276058533744,31,0.06415184798387066,0.9791435096774279,45.609924266932275,1.560925744926073,42.368068,50.373415,45.63763316507304,-0.013711444000000007,2.2329317269172206e-06,251,250,47.89431854647568,0
us,2000,OTHER,development,2000-11-07,2000-11-07,0,3.7936984,3.8291923,0.0,0.0396465000000003,3.972471719354839,0.14488185205436482,31,0.002847055161290276,-0.143279419354839,3.9818622760956175,0.6538646227908332,2.8255959,6.0740978,3.9788914481274897,0.0014256164000000019,0.0,251,250,3.902036100349978,0
us,2004,REP,development,2004-11-02,2004-11-02,0,48.604056,48.5291886,0.0364980000000016,-0.0752939999999995,48.30778622580645,0.26491407378263265,31,0.005906680645160061,0.22140237419354492,47.027953737051796,1.4208203569141165,45.106378,50.453386,47.00888693824701,0.009736644000000013,0.00022718072289156318,251,250,50.68196562112873,1
us,2004,DEM,development,2004-11-02,2004-11-02,0,46.982615,46.64033920000001,0.0145800000000022,-0.2558539999999993,46.11627319354838,0.39621148015026725,31,0.034192824999999955,0.5240660064516263,46.17032286852589,1.522595739786284,43.602116,49.010353,46.18679059236388,-0.007614415999999975,-0.0003709919678714812,251,250,48.25481674287688,0
us,2008,DEM,development,2008-11-04,2008-11-04,0,50.990174,50.6827604,0.0,-0.2808370000000053,49.77157077419355,0.6212629787464281,31,0.062920367741934,0.9111896258064505,46.57957885258964,1.4800589076420207,44.205848,50.990174,46.554633418393095,0.012973064000000022,7.55020080301976e-07,251,250,52.86371641269292,1
us,2008,REP,development,2008-11-04,2008-11-04,0,43.820694,43.6603474,0.0,-0.1755440000000021,42.851236387096776,0.537723505894672,31,0.022322056048387034,0.8091110129032231,44.324197442231075,1.7639538276529534,41.081292,47.179456,44.33583146540504,-0.0056429519999999815,-7.630522088929532e-08,251,250,45.63385192324093,0
